"","accession","Domain","Phylum","Class","Order","Family","Genus","Species"
"254","KF084610.1.1355","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Actinomycetales","D_4__Actinomycetaceae","D_5__Actinomyces","D_6__uncultured bacterium"
"255","JQ475482.1.1425","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Actinomycetales","D_4__Actinomycetaceae","D_5__Actinomyces","D_6__uncultured bacterium"
"256","JQ204964.1.1359","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Actinomycetales","D_4__Actinomycetaceae","D_5__Actinomyces","D_6__uncultured bacterium"
"257","KF030212.1.1494","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Actinomycetales","D_4__Actinomycetaceae","D_5__Actinomyces","D_6__Actinomyces sp. canine oral taxon 417"
"258","JQ473890.1.1402","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Actinomycetales","D_4__Actinomycetaceae","D_5__Actinomyces","D_6__uncultured bacterium"
"259","JQ456177.1.1389","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Actinomycetales","D_4__Actinomycetaceae","D_5__Actinomyces","D_6__uncultured bacterium"
"260","AKGF01000038.28.1549","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Actinomycetales","D_4__Actinomycetaceae","D_5__Actinomyces","D_6__Actinomyces timonensis DSM 23838"
"261","GQ017278.1.1375","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Actinomycetales","D_4__Actinomycetaceae","D_5__Actinomyces","D_6__uncultured bacterium"
"262","JQ452820.1.1399","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Actinomycetales","D_4__Actinomycetaceae","D_5__Actinomyces","D_6__uncultured bacterium"
"263","JQ447480.1.1440","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Actinomycetales","D_4__Actinomycetaceae","D_5__Actinomyces","D_6__uncultured bacterium"
"264","JF189313.1.1380","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Actinomycetales","D_4__Actinomycetaceae","D_5__Actinomyces","D_6__uncultured bacterium"
"265","X80411.1.1415","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Actinomycetales","D_4__Actinomycetaceae","D_5__Actinomyces","D_6__Actinomyces howellii"
